repeat,user_id,language,alpha_mean,alpha_sd,alpha_min,alpha_max
0,61574934126943,pt,0.1830936223268509,0.10909271240234375,0.030003666877746582,0.29999756813049316
0,61575131153481,en,0.2516078054904938,0.08857931941747665,0.030004873871803284,0.299999862909317
0,61574801413926,fr,0.2762221097946167,0.05412094667553902,0.03105117380619049,0.2999998927116394
0,61575315757634,fr,0.2347201108932495,0.09952220320701599,0.030521869659423828,0.29999977350234985
0,61574863962100,it,0.25401541590690613,0.08351480215787888,0.03024248778820038,0.29999977350234985
0,61575201373332,fr,0.23594637215137482,0.10084056854248047,0.03001803159713745,0.2999998927116394
0,61575691416622,hi,0.26716068387031555,0.06611233949661255,0.03093971312046051,0.2999998927116394
0,61574905567721,en,0.266968697309494,0.07106921821832657,0.030712202191352844,0.29999977350234985
0,61575169251717,en,0.1963888555765152,0.1143755167722702,0.030039876699447632,0.2999998927116394
0,61575111478220,pt,0.2817314565181732,0.04961027204990387,0.031008347868919373,0.2999998927116394
0,61575569215048,hi,0.2170448899269104,0.10014548897743225,0.03032909333705902,0.29999834299087524
0,61575003004721,fr,0.2011050432920456,0.11043089628219604,0.030007272958755493,0.29999807476997375
0,61575027123549,en,0.21210214495658875,0.10761282593011856,0.030223071575164795,0.2999989986419678
0,61574951645380,en,0.2215542495250702,0.10201869159936905,0.030392557382583618,0.29999977350234985
0,61574727556591,en,0.2174527943134308,0.10796689242124557,0.030445367097854614,0.2999996840953827
0,61575239345239,en,0.2377944141626358,0.09625614434480667,0.030082836747169495,0.299999862909317
0,61575622629793,it,0.24967482686042786,0.08450073003768921,0.03001675009727478,0.299999862909317
0,61575174584515,fr,0.24753263592720032,0.09660491347312927,0.030153051018714905,0.2999995946884155
0,61575689432183,pt,0.2287282645702362,0.09977628290653229,0.030218347907066345,0.2999998927116394
0,61575053907477,en,0.2189207226037979,0.09930050373077393,0.03001253306865692,0.2999997138977051
0,61575568405010,en,0.2636678218841553,0.07281198352575302,0.031733736395835876,0.29999980330467224
0,61575007354364,en,0.254232794046402,0.07392788678407669,0.03231309354305267,0.2999995946884155
0,61575205783063,hi,0.2486208975315094,0.07979241013526917,0.03222586214542389,0.2999992072582245
0,61574652767188,en,0.2572864592075348,0.08093816787004471,0.030835822224617004,0.29999983310699463
0,61574821569203,en,0.20135188102722168,0.11845443397760391,0.030006110668182373,0.29999983310699463
0,61575347826373,hi,0.257795125246048,0.06997573375701904,0.032746776938438416,0.29999977350234985
0,61575116351597,hi,0.25867292284965515,0.07674238085746765,0.03054329752922058,0.2999998927116394
0,61574764605724,fr,0.2220967710018158,0.1021418571472168,0.030458420515060425,0.29999983310699463
0,61575210563029,fr,0.28448089957237244,0.04897654056549072,0.03101690113544464,0.2999998927116394
0,61574937547028,it,0.20856502652168274,0.11525169014930725,0.030032187700271606,0.29999977350234985
0,61575062566013,en,0.200769305229187,0.11574705690145493,0.030055329203605652,0.29999977350234985
0,61575004409946,en,0.2512640357017517,0.08153458684682846,0.031196460127830505,0.299999862909317
0,61575167439026,en,0.24732625484466553,0.09154009073972702,0.03016453981399536,0.29999974370002747
0,61575303902251,en,0.21390323340892792,0.10398736596107483,0.03071272373199463,0.29999977350234985
0,61574987700816,en,0.2158164083957672,0.10581998527050018,0.030022144317626953,0.29999983310699463
0,61575062519607,en,0.25747430324554443,0.07426808774471283,0.0311640202999115,0.299999862909317
0,61575236351657,fr,0.2132849544286728,0.10755831748247147,0.03001074492931366,0.2999996244907379
0,61575255040324,en,0.238916277885437,0.0884784385561943,0.03205263614654541,0.29999983310699463
0,61575799107152,pt,0.2118453085422516,0.10915467888116837,0.030073702335357666,0.29999983310699463
0,61575637913685,en,0.22467979788780212,0.09795769304037094,0.030140548944473267,0.299999862909317
0,61575138556380,en,0.19993183016777039,0.10971996188163757,0.030078232288360596,0.29999619722366333
0,61575527222862,it,0.2580839693546295,0.0802457332611084,0.031153321266174316,0.2999998927116394
