persona_id,old_pref,new_pref,change_gap_1,change_gap_final,sustained_minus_oneoff_gap,semantic_new_effect_final,semantic_old_effect_final,alpha_new_minus_old_1,shock_gap_to_matched_stable,recovery_final_gap_to_matched_stable,matched_recovery_fraction
644,Plays tennis instead of cricket,Plays cricket instead of tennis,0.5536292791366577,2.571704149246216,2.018074870109558,0.004363715648651123,-0.03283792734146118,-8.51750373840332e-05,0.5536292791366577,0.3525100350379944,0.36327421918922587
626,Frequently visits museums and art galleries,Rarely visits museums and art galleries,0.3582538068294525,1.6273049116134644,1.2690511047840118,0.0017278194427490234,0.0020941495895385742,0.0002471506595611572,0.3582538068294525,0.1659049391746521,0.5369066957224784
314,Regularly supports local Black-owned businesses,Does not regularly support local Black-owned businesses,0.5151864290237427,2.240138292312622,1.7249518632888794,0.008707255125045776,0.023137539625167847,4.863739013671875e-05,0.5151864290237427,0.2500995099544525,0.5145456171499297
382,Likes visiting art galleries,Dislikes visiting art galleries,0.4396693706512451,1.9612698554992676,1.5216004848480225,0.0015823543071746826,0.0010951757431030273,1.2636184692382812e-05,0.4396693706512451,0.28262877464294434,0.35717884049027526
692,Likes listening to podcasts,Dislikes listening to podcasts,0.6456772089004517,2.595578193664551,1.9499009847640991,0.0028742551803588867,-0.006393373012542725,-0.00010535120964050293,0.6456772089004517,0.30510440468788147,0.5274660457545723
884,Enjoys craft beer tasting,Does not enjoy craft beer tasting,0.4693363606929779,2.317858934402466,1.848522573709488,-0.00661131739616394,-0.01740977168083191,0.00015863776206970215,0.4693363606929779,0.2859233617782593,0.3907922212630367
493,Mild gastritis episode resolved with dietary adjustments,Mild gastritis episode persisted despite dietary adjustments,0.41729897260665894,1.9789494276046753,1.5616504549980164,0.0004686713218688965,-0.003045976161956787,-0.0004571378231048584,0.41729897260665894,0.2827834486961365,0.3223480831267591
668,Enjoys casual cycling around the city,Enjoys competitive cycling and racing,0.6528945565223694,3.05953311920166,2.4066385626792908,0.003382772207260132,0.009900927543640137,7.829070091247559e-05,0.6528945565223694,0.4345690906047821,0.33439621105204764
823,Follows European football (soccer),Does not follow European football (soccer),1.0181224346160889,4.682734489440918,3.664612054824829,0.00986221432685852,-0.11301076412200928,0.0005912184715270996,1.0181224346160889,0.5238268971443176,0.4854971471659585
522,Regularly attends exclusive art gallery openings,Rarely attends exclusive art gallery openings,0.39097100496292114,1.9695165157318115,1.5785455107688904,0.004341840744018555,-0.0010982751846313477,-4.649162292480469e-05,0.39097100496292114,0.27003833651542664,0.309313649637429
