user_id,language,split
61575035761122,en,train
61575049142560,en,train
61575586061241,en,train
61575193327886,en,train
61574849077868,en,train
61575533426830,en,train
61575788091185,en,train
61574951432810,en,train
61575532618099,en,train
61574884506218,en,train
61574698277658,en,train
61574851057580,en,train
61575197780172,en,train
61575017314037,en,train
61573588616749,en,train
61575782391589,en,train
61575518103435,en,train
61574815989520,en,train
61574918374451,en,train
61574831318714,en,train
61575235145623,en,train
61573196827185,en,train
61575196430025,en,train
61575551011743,en,train
61575614489368,en,train
61574786411172,en,train
61575545546366,en,train
61575017822158,en,train
61575251884570,en,train
61575095755348,en,train
61575537512546,en,train
61575568080955,en,train
61574725486505,en,train
61575154942146,en,train
61573420533626,en,train
61575263074351,en,train
61575753603926,en,train
61575125876415,en,train
61575068070323,en,train
61575148336060,en,train
61575284018966,en,train
61575244115181,en,train
61575861748685,en,train
61574915764340,en,train
61575018269201,en,train
61575149055819,en,train
61575178135876,en,train
61575189890579,en,train
61575567360947,en,train
61575728153617,en,train
61575138623198,en,train
61574889725701,en,train
61575849719275,en,train
61572882850263,en,train
61575297938775,en,train
61575318511359,en,train
61575027451341,en,train
61575246022295,en,train
61575716045581,en,train
61574713064341,en,train
61575052695262,en,train
61573166365827,en,train
61575548713041,en,train
61575541256468,en,train
61575794282221,en,train
61575183128253,en,train
61574821811900,en,train
61574965232024,en,train
61575005582648,en,train
61575125349572,en,train
61574779424322,en,train
61575226252249,en,train
61575674246428,en,train
61575064826619,en,train
61575026161546,en,train
61575501784018,en,train
61574798865283,en,train
61573399053277,en,train
61574990103457,en,train
61573089179589,en,train
61575232553026,en,train
61575043677622,en,train
61572912788486,en,train
61575128231189,en,train
61574685795214,en,train
61575089203217,en,train
61575178004319,en,train
61575206172740,en,train
61575163975346,en,train
61574966941859,en,train
61575695425340,en,train
61575229661702,en,train
61573577515864,en,train
61574837711195,en,train
61574819382149,en,train
61573489649730,en,train
61575804620435,en,train
61574966237701,en,train
61575210912858,en,train
61575281043341,en,train
61575608339692,en,train
61575643340473,en,train
61575436324943,en,train
61575041217922,en,train
61575293558861,en,train
61575496894142,en,train
61574761845458,en,train
61575562736575,en,train
61574980203825,en,train
61572806113212,en,train
61575085318694,en,train
61574965654909,en,train
61574747655692,en,train
61575221826234,en,train
61574784614138,en,train
61575184700780,en,train
61574785511174,en,train
61575230511981,en,train
61575260781729,en,train
61575538982232,en,train
61575090343090,en,train
61574757192455,en,train
61575026553769,en,train
61575073676425,en,train
61574785991066,en,train
61575254572008,en,train
61575146115727,en,train
61575679070290,en,train
61573175695316,en,train
61575463174605,en,train
61575215662750,en,train
61573230966143,en,train
61575176453944,en,train
61575502533779,en,train
61575267489949,en,train
61575136765917,en,train
61574912044626,en,train
61575155889841,en,train
61575194887656,en,train
61574709377155,en,train
61575067856735,en,train
61574970545248,en,train
61574885771005,en,train
61575257675809,en,train
61575137995791,en,train
61574750145593,en,train
61575252650029,en,train
61575288458576,en,train
61575605365272,en,train
61573684430927,en,train
61575010292520,en,train
61575301268192,en,train
61574832908862,en,train
61575116366956,en,train
61574691705220,en,train
61575125081294,en,train
61575758703690,en,train
61575657657480,en,train
61575186644114,en,train
61575132399157,en,train
61575184850763,en,train
61575242890282,en,train
61574924644086,en,train
61574754916100,en,train
61574982480978,en,train
61575666080849,en,train
61575262880279,en,train
61575140242986,en,train
61575191120363,en,train
61575247115078,en,train
61574663446781,en,train
61575658047213,en,train
61575037923063,en,train
61574994845337,en,train
61574722963735,en,train
61575482824609,en,train
61574738293203,en,train
61574834441667,en,train
61575020206369,en,train
61575793370914,en,train
61574965324818,en,train
61575686125649,en,train
61574911657486,en,train
61574969491826,en,train
61574728486539,en,train
61574796285279,en,train
61575323976887,en,train
61575172671299,en,train
61575213712851,en,train
61574728786524,en,train
61575110334456,en,train
61575528692861,en,train
61575502377990,en,train
61575162489311,en,train
61575562471116,en,train
61574744595777,en,train
61575170066469,en,train
61575823410579,en,train
61575026908562,en,train
61575022726666,en,train
61574761245232,en,train
61575149080091,en,train
61575989812987,en,train
