user_id,fold
10,3
101,2
107,0
110,1
120,4
136,3
137,1
139,4
158,2
168,0
174,2
184,1
198,1
199,3
208,1
209,3
210,1
213,4
215,2
218,0
221,3
23,4
235,1
237,0
244,3
247,4
25,0
254,1
256,1
260,3
261,2
265,4
275,2
277,0
280,2
281,1
289,2
292,1
294,2
298,0
299,1
30,3
307,1
309,0
310,0
312,1
314,3
319,1
321,3
327,1
328,0
332,4
346,2
351,0
355,0
361,3
363,0
365,0
370,4
371,2
377,0
382,3
39,0
408,2
411,2
425,3
429,4
432,4
436,0
439,4
44,4
445,3
451,2
462,4
479,2
486,2
493,3
494,0
499,0
513,4
521,2
522,3
526,2
527,2
528,3
529,0
534,1
54,1
542,4
543,4
548,0
549,4
55,1
554,3
559,4
570,4
578,0
583,2
584,3
589,0
59,2
590,4
595,2
599,1
60,0
601,1
604,4
613,2
617,0
621,0
626,4
63,4
635,0
636,1
643,4
644,2
649,0
650,3
652,1
656,1
66,4
660,4
662,0
668,4
67,0
670,3
677,3
678,0
679,3
687,3
689,3
692,2
697,1
70,0
713,4
714,4
716,4
72,3
721,1
737,0
740,4
741,1
749,3
753,1
76,1
761,4
764,3
767,1
787,1
800,2
802,1
810,1
811,1
816,2
820,2
822,3
823,1
826,1
829,4
837,2
845,3
849,1
859,4
86,4
865,3
866,3
867,2
879,3
88,4
883,2
884,3
892,0
893,0
899,2
901,2
902,3
914,2
917,2
924,4
936,2
938,3
941,0
942,0
947,1
948,2
959,3
96,0
973,0
974,4
977,3
978,1
985,2
986,3
989,2
995,4
998,0
