user_id,conversations,waves,n_waves,languages,n_languages,countries,n_countries,pregenerated_conversations,user_initiated_conversations,observed_turns,feedback_items,preference_choices,choice_entropy_bits,dominant_choice_share,choice_a,choice_b,choice_c,choice_d,unique_prompt_hashes,duplicate_prompt_rows_within_user,length_comparisons,fraction_chosen_longest,fraction_chosen_shortest
61572815085425,249,1,1,fr,1,france,1,21,228,769,60,769,0.8429604576793586,0.8504551365409623,654,38,31,46,754,15,769,0.1378413524057217,0.46423927178153446
61574865220091,189,1,1,en,1,united states,1,82,107,613,128,613,1.4980872053935,0.636215334420881,390,106,52,65,612,1,613,0.2234910277324633,0.3262642740619902
61575459945486,166,1,1,fr,1,france,1,147,19,454,0,454,1.992651112077256,0.2841409691629956,97,112,129,116,448,6,453,0.3620309050772627,0.17218543046357615
61575208087101,143,1,1,hi,1,india,1,105,38,386,25,386,1.7086274211009786,0.4689119170984456,181,33,46,126,377,9,377,0.4535809018567639,0.22546419098143236
61575045237644,140,1,1,hi,1,india,1,64,76,332,18,332,1.6694652134671037,0.5210843373493976,173,51,22,86,331,1,330,0.3181818181818182,0.2727272727272727
61575498628260,136,1,1,hi,1,india,1,136,0,446,14,446,1.7745043229308992,0.4125560538116592,184,36,72,154,443,3,440,0.5409090909090909,0.13636363636363635
61575049142560,131,1,1,en,1,india,1,81,50,416,78,416,1.6904287055106462,0.5456730769230769,227,74,40,75,414,2,416,0.16346153846153846,0.40865384615384615
61575543853427,129,1,1,fr,1,france,1,120,9,346,0,346,1.9163120182313844,0.34971098265895956,109,64,52,121,343,3,343,0.37900874635568516,0.239067055393586
61575001679910,121,1,1,en,1,india,1,54,67,305,0,305,1.9661898113516874,0.32131147540983607,98,64,57,86,304,1,304,0.2532894736842105,0.28618421052631576
61573015803295,111,1,1,pt,1,brazil,1,63,48,286,23,286,1.8353930720171003,0.40559440559440557,116,47,32,91,285,1,284,0.426056338028169,0.21830985915492956
61575173335119,111,1,1,fr,1,france,1,100,11,287,0,287,1.8988772878336166,0.40069686411149824,76,46,50,115,286,1,284,0.397887323943662,0.2323943661971831
61573361584445,100,1,1,fr,1,france,1,83,17,242,44,242,1.6729604132754226,0.512396694214876,70,23,25,124,242,0,242,0.3677685950413223,0.30991735537190085
61574981251318,98,1,1,en,1,united states,1,86,12,98,19,98,1.9055607895549334,0.336734693877551,29,33,25,11,97,1,98,0.20408163265306123,0.25510204081632654
61575015123109,98,1,1,fr,1,france,1,84,14,242,0,242,1.9028750389783544,0.3884297520661157,68,39,41,94,241,1,242,0.38016528925619836,0.25206611570247933
61575657758124,98,1,1,fr,1,france,1,98,0,98,0,98,1.8671976722970371,0.37755102040816324,12,32,17,37,97,1,98,0.336734693877551,0.16326530612244897
